key              , kind          , selector                                          , applicability   , country, gas , emissionScope, value   , unit     , sourceReferenceId               , validFromYear, validToYear, notes
ef-electricity   , emissionFactor, {}                                                , country-specific, TN     , CO2e,             2,   0.5193, kWh      , <source:electricity-factor-2019>,          2019,        2019, "display label: kg CO2e / kWh"
ef-petrol        , emissionFactor, {}                                                , country-specific, TN     , CO2e,             1,   2.3505, L        , <source:petrol-factor>          ,              ,            , "display label: kg CO2e / L"
gwp              , constant      , "{""inputGas"":""CH4""}"                          , global          ,        , CO2e,              ,  25     , g        ,                                 ,              ,            , "denominator gas CH4 stays in selector"
compostingEf     , emissionFactor, "{""wasteType"":""greenWaste""}"                  , global          ,        , CH4 ,              ,   4     , kg       , <source:ipcc>                   ,              ,            , "display label can be g CH4 / kg after normalization rules"
treeBiomass      , constant      , "{""treeType"":""olive"",""treeStage"":""young""}", country-specific, TN     ,     ,              ,  38     , kg       , <source:ipcc>                   ,              ,            , "biomass constant"
rootToShoot      , constant      , "{""treeFamily"":""broadleaf""}"                  , global          ,        ,     ,              ,  46     , percent  , <source:ipcc-table-4-4>         ,              ,            , "raw 46% normalized to numeric 46"
manureEf         , emissionFactor, "{""animal"":""dairyCattle""}"                    , country-specific, TN     , CH4 ,             1,  99.5646, head/year, <source:ire-sfax>               ,              ,            , "display label: kg CH4 / head / year"
confinedTimeShare, constant      , "{""animal"":""dairyCattle""}"                    , global          ,        ,     ,              , 100     , percent  , <source:ire-sfax>               ,              ,            , "raw 100% normalized to numeric 100"
